編號,標題,出處,維度,模組,大師金句,具體故事,善緣陪伴語,原文URL,來源Excel
29,p273　母親的信,星雲禪話3,D3生命關係,M3意義重建,出家人貴在「真參實學」，要做「人天師範」。但願眾生得離苦，不為自己求安樂。,惠心沙彌十五歲時，因應對得體獲得皇帝賞賜，一時風光無限。他滿心歡喜地將賞賜轉寄給故鄉母親，以為這是盡孝的好機會。沒想到母親回了一封信，不是感謝，而是當頭棒喝：「我送你出家，不是希望你流連名利場，而是希望你做個有真才實學的修道人。」惠心受此提醒，立志不再追逐虛榮。他計畫隔年請假返鄉探母，母親再度來信：「你已不只是我一個人的兒子，你屬於所有需要你的人。回鄉之念，應當打消。」兩封信，讓惠心從一個被榮寵沖昏頭的少年，走向精勤學道、終成一代禪者的人生。,有時候讓我們清醒的，不是挫折，而是一個真正愛我們的人說出的真心話。惠心的媽媽沒有責罵，只是提醒他：你當初出發的理由是什麼？當我們在掌聲和光環裡迷失方向，也許可以問問自己——我當初為什麼要走這條路？那個初心，才是最值得守護的東西。,https://books.masterhsingyun.org/ArticleDetail/artcle6500,人間萬事.xlsx
30,p304　母親的心,星雲說喻1,D3生命關係,M1情緒支持,慈母受到兒女割心傷害，孩子跌倒仍是充滿關懷，深怕他跌跤受傷。,有個年輕人愛上一個女孩，女孩知道他是個孝子，便故意試探：「我什麼聘禮都不要，只要你母親的心，你能給我，我就嫁給你。」年輕人朝思暮想，最終狠心將母親的心取出，雙手顫抖地捧去獻給女孩。途中腳步踉蹌，摔了一跤，手上捧著的心翻滾了幾下。他急忙俯身要撿起，這顆心卻忽然開口說話：「孩子，剛剛跌的那一跤，跌痛了沒？」——母親的心已被割出、奪走，卻仍然只掛念著孩子有沒有受傷。這個畫面，道盡了天下母親最深沉的愛。,有時候我們傷了最愛我們的人，他們卻還是第一個回頭問「你還好嗎？」——這種愛，不需要理由，也不需要回報。如果你心裡有些虧欠，或許現在就是說聲謝謝、或靜靜陪伴的好時機。,https://books.masterhsingyun.org/ArticleDetail/artcle10219,人間萬事.xlsx
31,p358　父母恩,星雲說偈5,D3生命關係,M3意義重建,慈母像大地，嚴父配於天；覆載恩同等，父娘恩亦然。不憎無怒目，不嫌手足攣；誕腹親生子，終日惜兼憐。,星雲大師在解說這首偈語時，用了一個極有畫面感的比喻：母親像大地，默默承載我們不讓我們下墜；父親像天，覆蓋庇蔭我們遮風擋雨。他說，萬物若不經烈日曝曬，就無法成熟，所以父親的嚴格，其實是另一種愛的方式。大師也提到，父母對子女從不嫌棄——哪怕孩子手腳殘缺，父母依然全心疼愛。母親從懷胎到哺育，終日惜兼憐，那份愛從未因孩子的樣貌或能力而打折。這份恩情，大師說，如天如地，難以報答。,有時候我們會覺得爸媽不夠溫柔，或太嚴、太囉嗦。但你有沒有想過，那個從不嫌棄你、不管你長什麼樣都還是心疼你的人，其實就是他們？嚴格是太陽，溫柔是月光，兩種都是在照著你長大。,https://books.masterhsingyun.org/ArticleDetail/artcle13975,人間萬事.xlsx
32,p226　生死由他,星雲禪話2,D4終極關懷,M4生死智慧,生也好，死也好，一切隨緣，由它去吧！,五代禪師保福從展，臨終前告訴弟子世緣將盡。弟子們驚慌哀求，希望師父留世。其中一位弟子卻靜靜走上前問：「去好，還是留好？」保福反問他，弟子毫不猶豫答道：「生也好，死也好，一切隨緣，由它去吧！」保福哈哈一笑說：「我心裡要講的話，不知什麼時候被你偷聽去了。」話音剛落，他便盤腿端坐，安然離世。那一刻，沒有掙扎，沒有恐懼，只有徹底的安靜與自在。,面對生死，我們常常比想像中更害怕「放手」。但保福禪師用最後那一笑告訴我們——真正的安心，不是假裝不怕，而是深深明白：來了就好好來，走了就好好走，生命本來就是這樣流動的。你現在心裡扛著的，能不能也試著輕輕放一放？,https://books.masterhsingyun.org/ArticleDetail/artcle6058,人間萬事.xlsx
33,p104　分手,人間萬事,D2人際職場,M2關係修復,在各種分手當中，有的情侶本著「愛他就要成就他」的犧牲精神，當對方提出分手時，能克制自己的感情，獨自忍受分手的痛苦，心甘情願的成就對方，這種「成人之美」的表現，才是真正懂得愛的真諦，也是人性高貴情操的表現。,星雲大師在《人間萬事》裡談分手，細細描繪了十種分手的樣貌。有人分手後「趕盡殺絕」，愛有多深恨有多切，甚至想置對方於死地；有人選擇「同歸於盡」，以最激烈的方式回應被拋棄的痛苦。但大師也說，有一種人，即使心碎，依然選擇「成人之美」——當對方說要離開，他壓下自己的不捨，默默祝福對方找到更好的幸福。還有一種「互相成就」，雖然最終沒能走在一起，卻在分開後仍是彼此的朋友，真心盼望對方有個好歸宿。大師說，這才是真正懂得愛的真諦。,分手真的很痛，但大師說，最難得的是那種「成人之美」——就算心裡很捨不得，還是壓下自己的感受，真心祝福對方。這不是認輸，是一種很深的愛。你現在也許還做不到，沒關係，光是撐過這個痛，就已經很不容易了。,https://books.masterhsingyun.org/ArticleDetail/artcle3531,人間萬事.xlsx
34,p318　劉玉英老奶奶（大師母親）,詩歌人間,D4終極關懷,M4生死智慧,般若禪心，堪稱世間大菩薩；慈悲方便，尊為人中老奶奶。,星雲大師的母親劉玉英老奶奶，一生跨越了民國締造、北伐統一、國共戰爭的動盪歲月，走遍大陸山河，後又遊歷美國、日本，最終在平靜中離世。大師在1996年以一首偈語為母親送別，寥寥數語，道盡一位平凡女性在亂世中所展現的堅韌與慈愛。她不是高僧，不是名人，卻被大師尊為「世間大菩薩」——因為她用一生的溫柔與包容，養育了一顆願意度化世人的心。這首偈語，是兒子獻給母親最深情的告別，也提醒我們：真正的偉大，往往就藏在最普通的生命裡。,有些人，一生沒有豐功偉業，卻走過了最不容易的歲月，用最平實的方式愛著身邊的人。星雲大師的媽媽就是這樣的人。你生命中有沒有這樣一個人，默默撐著你、從不喊累？有時候，好好想起他們，心裡就會多一份力量。,https://books.masterhsingyun.org/ArticleDetail/artcle22084,人間萬事.xlsx
35,p070　夫妻不和,人間萬事,D2人際職場,M2關係修復,夫妻本來應該是親愛的一對，反而成為怨偶一雙……縱有一些問題，應該互相改進，以符合對方的需要，千萬不能任他惡化。,星雲大師觀察到，許多夫妻的裂痕並非始於大事，而是從一支牙刷、一個擠牙膏的方式開始。兩人因小事冷戰數日，繼而鬥嘴、動手，太太負氣回娘家，丈夫捲鋪蓋離家，最後走上對簿公堂、爭奪子女監護權。大師把這段過程細分為六個階段：冷戰、鬥嘴、打架、出走、離婚、互控。他指出，每一個階段其實都有機會停下來，問題在於雙方都不肯退讓一步。他特別心疼的是：那些在爭吵聲中長大的無辜孩子，才是婚姻破裂最沉默的受害者。,很多感情的裂縫，其實是從小事累積起來的——一句沒說好的話、一個沒被理解的需求。不是不愛了，是太久沒有好好退一步。如果關係對你還重要，也許可以試著先說一句「我需要你」，而不是等對方先開口。,https://books.masterhsingyun.org/ArticleDetail/artcle4844,人間萬事.xlsx
36,p143　夫妻之道,詩歌人間,D3生命關係,M2關係修復,幽默說笑，助理家務；喝茶看報，讚美太太。治家整潔，賢慧有德；慰問丈夫，讚美辛勞。,星雲大師用短短幾行詩，勾勒出兩種截然不同的夫妻相處之道。一邊是：丈夫懂得幽默說笑，搭把手做家務，喝茶看報之餘還不忘讚美太太；妻子把家裡打理得整潔有序，體貼丈夫的辛苦，給予溫暖的慰問。另一邊卻是：氣勢凌人、嫌東嫌西，在外遊蕩不歸；或嘮叨不休、搬弄是非，把家變成戰場。大師不說大道理，只用白描的方式讓人對照，讓讀的人自己心裡明白：婚姻裡那些小小的讚美、小小的體貼，才是讓兩個人願意繼續走下去的真正力量。,其實讓感情長久的，不是什麼轟轟烈烈的大事，往往是一句「你今天辛苦了」，或是默默去分擔一件小事。你有多久沒有好好讚美對方了？有時候我們最吝嗇給的，恰好是最近的人最需要的。,https://books.masterhsingyun.org/ArticleDetail/artcle22337,人間萬事.xlsx
37,p014　父母,人間萬事,D3生命關係,M3意義重建,感謝父母，父母是因緣；感謝眾生，眾生是因緣；感謝大地，大地是因緣；人要珍惜因緣、敬重因緣，因為因緣是我們的父母。,星雲大師從小拜師學藝，他說師父是「再生的父母」——不只是給了他技藝，更讓他脫胎換骨、變化氣質。他進一步把「父母」的範圍擴大：農夫種田、工人織布，讓我們吃飽穿暖，是衣食的父母；大地承載萬物、供給所需，是大地的父母；而那些在危難中伸出援手救過我們的人，更是我們的再生父母。他說，一雙筷子、一張床鋪、一棟房子，沒有一樣不是靠著無數人的因緣成就的——每一個幫助過我們存在的人與事，都是廣義的「父母」。,你有沒有想過，其實幫助你走到今天的「父母」，遠比你以為的多？那個曾經拉你一把的老師、一起扛過難關的朋友、甚至讓你填飽肚子的每一個陌生人——他們都是你生命的一部分。試著想想，今天的你，背後有多少人的支撐？,https://books.masterhsingyun.org/ArticleDetail/artcle5505,人間萬事.xlsx
38,p026　結婚三階段,人間萬事,D3生命關係,M2關係修復,結婚後，閉起雙眼，就不必再看了。夫妻結婚，大家都是凡人，用不著以聖人的眼光來檢視對方，只有用愛心、體貼來尊重、包容，那才是結婚的最高境界。,星雲大師把婚姻分成三個階段，用非常生活化的比喻說清楚了愛情的真相。戀愛前，要睜大雙眼，把對方看個清楚，千挑萬選不委屈自己；戀愛時，像老木匠做工一樣，閉起一隻眼用單眼目測，才能看得直、看得準，不被激情沖昏頭；真正結婚之後，反而要學會閉上雙眼——不是假裝看不見，而是放下用「完美標準」審視對方的習慣，改用愛心與體貼去包容。大師說，夫妻都是凡人，何必用聖人的眼光去挑剔彼此的眉眼？這三步「初看、再看、不看」，道盡了讓婚姻長久的智慧。,跟另一半相處久了，難免開始用放大鏡看對方的缺點。其實大師說得好：結婚後就該「閉上眼睛」——不是忍耐，而是把挑剔換成包容。兩個人都不完美，能互相體貼，才是最真實的幸福。,https://books.masterhsingyun.org/ArticleDetail/artcle4829,人間萬事.xlsx
